Attacker,Target,Target_Class,Body_Hits_To_Kill,Head_Hits_To_Kill,Charged_Body_Hits_To_Kill,Charged_Head_Hits_To_Kill
Ceratosaurus,Diabloceratops,Herbivore,20.0,,9,
Ceratosaurus,Dryosaurus,Herbivore,1.0,1.0,1,1
Ceratosaurus,Hypsilophodon,Herbivore,1.0,1.0,1,1
Ceratosaurus,Tenontosaurus,Herbivore,11.0,8.0,5,4
Ceratosaurus,Pachycephalosaurus,Herbivore,4.0,4.0,2,2
Ceratosaurus,Stegosaurus,Herbivore,40.0,20.0,18,9
Ceratosaurus,Beipiaosaurus,Omnivore,1.0,1.0,1,1
Ceratosaurus,Gallimimus,Omnivore,3.0,2.0,2,1
Allosaurus,Diabloceratops,Herbivore,18.0,,,
Allosaurus,Dryosaurus,Herbivore,1.0,1.0,,
Allosaurus,Hypsilophodon,Herbivore,1.0,1.0,,
Allosaurus,Maiasaura,Herbivore,22.0,15.0,,
Allosaurus,Pachycephalosaurus,Herbivore,4.0,6.0,,
Allosaurus,Stegosaurus,Herbivore,35.0,18.0,,
Allosaurus,Tenontosaurus,Herbivore,10.0,7.0,,
Allosaurus,Allosaurus,Carnivore,15.0,10.0,,
Allosaurus,Carnotaurus,Carnivore,18.0,12.0,,
Allosaurus,Ceratosaurus,Carnivore,18.0,12.0,,
Allosaurus,Deinosuchus,Carnivore,6.0,4.0,,
Allosaurus,Dilophosaurus,Carnivore,31.0,21.0,,
Allosaurus,Herrerasaurus,Carnivore,9.0,6.0,(max pounce),
Allosaurus,Omniraptor,Carnivore,40.0,27.0,,
Allosaurus,Pteranodon,Carnivore,130.0,87.0,,
Allosaurus,Troodon,Carnivore,26.0,,,(pounce)
Allosaurus,Tyrannosaurus,Carnivore,4.0,3.0,,
Allosaurus,Diabloceratops,Herbivore HTD,10.0,7.0,,
Allosaurus,Dryosaurus,Herbivore HTD,130.0,87.0,,
Allosaurus,Hypsilophodon,Herbivore HTD,1300.0,867.0,,
Allosaurus,Maiasaura,Herbivore HTD,6.0,4.0,(stomp),
Deinosuchus,Dryosaurus,Herbivore,0.26,0.17,,
Deinosuchus,Hypsilophodon,Herbivore,0.04,0.03,,
Deinosuchus,Tenontosaurus,Herbivore,3.2,2.13,,
Deinosuchus,Pachycephalosaurus,Herbivore,1.0,1.0,,
Deinosuchus,Stegosaurus,Herbivore,12.0,6.0,,
Deinosuchus,Beipiaosaurus,Omnivore,0.18,0.12,,
Deinosuchus,Gallimimus,Omnivore,0.85,0.57,,
Triceratops,Diabloceratops,Herbivore,5.0,,,
Triceratops,Dryosaurus,Herbivore,1.0,1.0,,
Triceratops,Hypsilophodon,Herbivore,1.0,1.0,,
Triceratops,Maisasaura,Herbivore,7.0,5.0,,
Triceratops,Pachycephalosaurus,Herbivore,1.0,1.0,,
Triceratops,Stegosaurus,Herbivore,10.0,5.0,,
Triceratops,Tenontosaurus,Herbivore,3.0,2.0,,
Triceratops,Triceratops,Herbivore,16.0,,,
Triceratops,Gallimimus,Omnivore,1.0,1.0,,
Triceratops,Carnotaurus,Carnivore HTD,64.0,,,
Triceratops,Ceratosaurus,Carnivore HTD,64.0,,,
Triceratops,Deinosuchus,Carnivore HTD,19.0,,,
Triceratops,Dilophosaurus,Carnivore HTD,112.0,,,
Triceratops,Herrerasaurus,Carnivore HTD,30.0,,(max pounce),
Triceratops,Omniraptor,Carnivore HTD,147.0,,,
Triceratops,Pteranodon,Carnivore HTD,475.0,,,
Triceratops,Troodon,Carnivore HTD,95.0,,(3rd stage pounce),
