Dinosaur,Diet,Max_Mass_kg_HP,Base_Attack_N,Sprint_kmh,Ambush_kmh,Grow_Time_hrs,Food_Drain_min,Water_Drain_min
Allosaurus,,,,,,,,
Beipiaosaurus,Carnivore,,20,,,,,
Carnotaurus,Carnivore,,,55.6,59.5,,,
Ceratosaurus,Carnivore,2250,,,,,,
Deinosuchus,,,500,,,,,
Diabloceratops,,3000,275,,,,,
Dilophosaurus,Omnivore,,85,,,,,
Gallimimus,Carnivore,,,,,,,
Herrerasaurus,Carnivore,,,55.8,,,,
Hypsilophodon,,20,2,,,,,
Maiasaura,,,,,,,,
Omniraptor,Carnivore,,,,,,,
Pachycephalosaurus,Carnivore,,,,,,,
Pteranodon,,,,,,,,
Stegosaurus,,4883,,,,,,
Tenontosaurus,,,35,,,,,
Triceratops,Carnivore,,,,,,,
Troodon,Carnivore,,35,,,,,
Tyrannosaurus,Carnivore,,,,,,,
