Dinosaur,Stat_Type,25_Percent_Juvi,50_Percent_SubJuvi,75_Percent_SubAdult,100_Percent_Adult,Prime_Elder_125_Percent,Frail_Elder_80_Percent
Allosaurus,Damage_N,,,,,,
Beipiaosaurus,Damage_N,,,,,,
Carnotaurus,Damage_N,,,,,,
Ceratosaurus,Damage_N,,,,,,
Deinosuchus,Damage_N,,,,,,
Diabloceratops,Damage_N,,,,,,
Dilophosaurus,Damage_N,,,,,,
Gallimimus,Damage_N,,,,,,
Herrerasaurus,Damage_N,,,,,,
Hypsilophodon,Damage_N,,,,,,
Maiasaura,Damage_N,,,,,,
Omniraptor,Damage_N,,,,,,
Pachycephalosaurus,Damage_N,,,,,,
Pteranodon,Damage_N,,,,,,
Stegosaurus,Damage_N,,,,,,
Tenontosaurus,Damage_N,,,,,,
Triceratops,Damage_N,,,,,,
Troodon,Damage_N,,,,,,
Tyrannosaurus,Damage_N,,,,,,
