Dinosaur,Stat_Type,25_Percent_Juvi,50_Percent_SubJuvi,75_Percent_SubAdult,100_Percent_Adult,Prime_Elder_125_Percent,Frail_Elder_80_Percent
Allosaurus,Mass_kg,,,,,,
Beipiaosaurus,Mass_kg,,,,,,
Carnotaurus,Mass_kg,,,,,,
Ceratosaurus,Mass_kg,,,,,,
Deinosuchus,Mass_kg,,,,,,
Diabloceratops,Mass_kg,,,,,,
Dilophosaurus,Mass_kg,,,,,,
Gallimimus,Mass_kg,,,,,,
Herrerasaurus,Mass_kg,,,,,,
Hypsilophodon,Mass_kg,,,,,,
Maiasaura,Mass_kg,,,,,,
Omniraptor,Mass_kg,,,,,,
Pachycephalosaurus,Mass_kg,,,,,,
Pteranodon,Mass_kg,,,,,,
Stegosaurus,Mass_kg,,,,,,
Tenontosaurus,Mass_kg,,,,,,
Triceratops,Mass_kg,,,,,,
Troodon,Mass_kg,,,,,,
Tyrannosaurus,Mass_kg,,,,,,
