Dinosaur,Stat_Type,25_Percent_Juvi,50_Percent_SubJuvi,75_Percent_SubAdult,100_Percent_Adult,Prime_Elder_110_Percent,Frail_Elder_85_Percent
Allosaurus,Speed_kmh,,,,,,00
Beipiaosaurus,Speed_kmh,,,,,,
Carnotaurus,Speed_kmh,,,,,,
Ceratosaurus,Speed_kmh,,,,,,
Deinosuchus,Speed_kmh,,,,,,
Diabloceratops,Speed_kmh,,,,,,
Dilophosaurus,Speed_kmh,,,,,,
Gallimimus,Speed_kmh,,,,,,
Herrerasaurus,Speed_kmh,,,,,,
Hypsilophodon,Speed_kmh,,,,,,
Maiasaura,Speed_kmh,,,,,,
Omniraptor,Speed_kmh,,,,,,
Pachycephalosaurus,Speed_kmh,,,,,,
Pteranodon,Speed_kmh,,,,,,
Stegosaurus,Speed_kmh,,,,,,
Tenontosaurus,Speed_kmh,,,,,,
Triceratops,Speed_kmh,,,,,,
Troodon,Speed_kmh,,,,,,
Tyrannosaurus,Speed_kmh,,,,,,9350
